Vftable	Methods	Flags	Type	Hierarchy
014209F700	1		std::basic_ifstream<char,std::char_traits<char> >	std::basic_ios<char,std::char_traits<char> >: std::ios_base, std::_Iosb<int>;
014209F748	1		std::basic_ostringstream<char,std::char_traits<char>,xbox::services::Allocator<char> >	std::basic_ios<char,std::char_traits<char> >: std::ios_base, std::_Iosb<int>;
014209F760	6		std::_Func_impl_no_alloc<<lambda_359ef47aa51528181330902119fa1007>,bool,int>	std::_Func_impl_no_alloc<<lambda_359ef47aa51528181330902119fa1007>,bool,int>: std::_Func_base<bool,int>;
014209F798	9		std::_Func_impl_no_alloc<<lambda_76fbc518bfd8d29ca97dca6795a3e103>,bool,int>	std::_Func_impl_no_alloc<<lambda_76fbc518bfd8d29ca97dca6795a3e103>,bool,int>: std::_Func_base<bool,int>;
014209F818	2		std::_System_error	std::_System_error: std::runtime_error, std::exception;
014209F830	2		std::system_error	std::system_error: std::_System_error, std::runtime_error, std::exception;
014209FA38	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_0b81f765400b1f084bb0325c69bdd1e7> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_0b81f765400b1f084bb0325c69bdd1e7> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
014209FA58	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_e248ca3f15b60d487b5c02100aa3e121> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_e248ca3f15b60d487b5c02100aa3e121> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
014209FA78	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_3975afbe99d76f55ef97d200492dfb86> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_3975afbe99d76f55ef97d200492dfb86> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
014209FB90	5		std::_Ref_count_resource_alloc<xbox::services::PeriodicTask * __ptr64,xbox::services::Deleter<xbox::services::PeriodicTask>,xbox::services::Allocator<xbox::services::PeriodicTask> >	std::_Ref_count_resource_alloc<xbox::services::PeriodicTask * __ptr64,xbox::services::Deleter<xbox::services::PeriodicTask>,xbox::services::Allocator<xbox::services::PeriodicTask> >: std::_Ref_count_base;
014209FBF8	2	M	xbox::services::GlobalState	xbox::services::GlobalState: struct xbox::services::RefCounter, std::enable_shared_from_this<xbox::services::GlobalState>;
014209FC10	4		xbox::services::log_hc_output	xbox::services::log_hc_output: xbox::services::log_output;
014209FC88	4	M	std::_Ref_count_obj_alloc3<xbox::services::achievements::manager::AchievementsManager,xbox::services::Allocator<xbox::services::achievements::manager::AchievementsManager> >	std::_Ref_count_obj_alloc3<xbox::services::achievements::manager::AchievementsManager,xbox::services::Allocator<xbox::services::achievements::manager::AchievementsManager> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::achievements::manager::AchievementsManager>,1>, struct xbox::services::Allocator<xbox::services::achievements::manager::AchievementsManager>, std::_Ref_count_base;
014209FCB0	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerManager,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerManager> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerManager,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerManager> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerManager>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerManager>, std::_Ref_count_base;
014209FCD8	4	M	std::_Ref_count_obj_alloc3<xbox::services::social::manager::SocialManager,xbox::services::Allocator<xbox::services::social::manager::SocialManager> >	std::_Ref_count_obj_alloc3<xbox::services::social::manager::SocialManager,xbox::services::Allocator<xbox::services::social::manager::SocialManager> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::social::manager::SocialManager>,1>, struct xbox::services::Allocator<xbox::services::social::manager::SocialManager>, std::_Ref_count_base;
014209FD00	4	M	std::_Ref_count_obj_alloc3<xbox::services::real_time_activity::RealTimeActivityManager,xbox::services::Allocator<xbox::services::real_time_activity::RealTimeActivityManager> >	std::_Ref_count_obj_alloc3<xbox::services::real_time_activity::RealTimeActivityManager,xbox::services::Allocator<xbox::services::real_time_activity::RealTimeActivityManager> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::real_time_activity::RealTimeActivityManager>,1>, struct xbox::services::Allocator<xbox::services::real_time_activity::RealTimeActivityManager>, std::_Ref_count_base;
014209FD28	4	M	std::_Ref_count_obj_alloc3<xbox::services::system::LocalStorage,xbox::services::Allocator<xbox::services::system::LocalStorage> >	std::_Ref_count_obj_alloc3<xbox::services::system::LocalStorage,xbox::services::Allocator<xbox::services::system::LocalStorage> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::system::LocalStorage>,1>, struct xbox::services::Allocator<xbox::services::system::LocalStorage>, std::_Ref_count_base;
014209FD50	4	M	std::_Ref_count_obj_alloc3<xbox::services::AppConfig,xbox::services::Allocator<xbox::services::AppConfig> >	std::_Ref_count_obj_alloc3<xbox::services::AppConfig,xbox::services::Allocator<xbox::services::AppConfig> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::AppConfig>,1>, struct xbox::services::Allocator<xbox::services::AppConfig>, std::_Ref_count_base;
014209FD78	4	M	std::_Ref_count_obj_alloc3<xbox::services::logger,xbox::services::Allocator<xbox::services::logger> >	std::_Ref_count_obj_alloc3<xbox::services::logger,xbox::services::Allocator<xbox::services::logger> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::logger>,1>, struct xbox::services::Allocator<xbox::services::logger>, std::_Ref_count_base;
014209FDA0	4	M	std::_Ref_count_obj_alloc3<xbox::services::log_hc_output,xbox::services::Allocator<xbox::services::log_hc_output> >	std::_Ref_count_obj_alloc3<xbox::services::log_hc_output,xbox::services::Allocator<xbox::services::log_hc_output> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::log_hc_output>,1>, struct xbox::services::Allocator<xbox::services::log_hc_output>, std::_Ref_count_base;
014209FDC8	4		std::_Ref_count_resource_alloc<xbox::services::GlobalState * __ptr64,xbox::services::Deleter<xbox::services::GlobalState>,xbox::services::Allocator<xbox::services::GlobalState> >	std::_Ref_count_resource_alloc<xbox::services::GlobalState * __ptr64,xbox::services::Deleter<xbox::services::GlobalState>,xbox::services::Allocator<xbox::services::GlobalState> >: std::_Ref_count_base;
014209FDF0	4	M	std::_Ref_count_obj_alloc3<xbox::services::ServiceCallRoutedHandler,xbox::services::Allocator<xbox::services::ServiceCallRoutedHandler> >	std::_Ref_count_obj_alloc3<xbox::services::ServiceCallRoutedHandler,xbox::services::Allocator<xbox::services::ServiceCallRoutedHandler> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::ServiceCallRoutedHandler>,1>, struct xbox::services::Allocator<xbox::services::ServiceCallRoutedHandler>, std::_Ref_count_base;
014209FEA8	2		std::range_error	std::range_error: std::runtime_error, std::exception;
014209FED8	1		std::basic_istringstream<char,std::char_traits<char>,xbox::services::Allocator<char> >	std::basic_ios<char,std::char_traits<char> >: std::ios_base, std::_Iosb<int>;
014209FEF0	6		xbox::services::cppresturi::utility::details::windows_category_impl	xbox::services::cppresturi::utility::details::windows_category_impl: std::error_category;
014209FF28	2		xbox::services::cppresturi::web::uri_exception	xbox::services::cppresturi::web::uri_exception: std::exception;
01420A02C0	1		std::basic_ostringstream<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t> >	std::basic_ios<wchar_t,std::char_traits<wchar_t> >: std::ios_base, std::_Iosb<int>;
01420A02F0	1		std::basic_istringstream<wchar_t,std::char_traits<wchar_t>,std::allocator<wchar_t> >	std::basic_ios<wchar_t,std::char_traits<wchar_t> >: std::ios_base, std::_Iosb<int>;
01420A0388	6		std::_Func_impl_no_alloc<<lambda_405e68089564be8803ed287f8eb9e40b>,bool,int>	std::_Func_impl_no_alloc<<lambda_405e68089564be8803ed287f8eb9e40b>,bool,int>: std::_Func_base<bool,int>;
01420A03C0	6		std::_Func_impl_no_alloc<<lambda_02820369e362d8d247e1e54fd5ce5986>,bool,int>	std::_Func_impl_no_alloc<<lambda_02820369e362d8d247e1e54fd5ce5986>,bool,int>: std::_Func_base<bool,int>;
01420A03F8	6		std::_Func_impl_no_alloc<<lambda_2ad5eed4dfa8d43a96e1ea3d243c1c3c>,bool,int>	std::_Func_impl_no_alloc<<lambda_2ad5eed4dfa8d43a96e1ea3d243c1c3c>,bool,int>: std::_Func_base<bool,int>;
01420A0430	6		std::_Func_impl_no_alloc<<lambda_a3e20f3515650e6bbaebe5ae443cfa3f>,bool,int>	std::_Func_impl_no_alloc<<lambda_a3e20f3515650e6bbaebe5ae443cfa3f>,bool,int>: std::_Func_base<bool,int>;
01420A0468	6		std::_Func_impl_no_alloc<<lambda_aa8eab2ef230dd11ba8d09e7990d73a5>,bool,int>	std::_Func_impl_no_alloc<<lambda_aa8eab2ef230dd11ba8d09e7990d73a5>,bool,int>: std::_Func_base<bool,int>;
01420A04A0	6		std::_Func_impl_no_alloc<<lambda_9af56a3023325acfc6c7628d7f843b18>,bool,int>	std::_Func_impl_no_alloc<<lambda_9af56a3023325acfc6c7628d7f843b18>,bool,int>: std::_Func_base<bool,int>;
01420A04D8	6		std::_Func_impl_no_alloc<<lambda_065ae1eb6a82f8b1eb7a925e4014a30f>,bool,int>	std::_Func_impl_no_alloc<<lambda_065ae1eb6a82f8b1eb7a925e4014a30f>,bool,int>: std::_Func_base<bool,int>;
01420A06C8	4	M	std::_Ref_count_obj_alloc3<xbox::services::Function<void __cdecl(XUserLocalId,XUserChangeEvent)>,xbox::services::Allocator<xbox::services::Function<void __cdecl(XUserLocalId,XUserChangeEvent)> > >	std::_Ref_count_obj_alloc3<xbox::services::Function<void __cdecl(XUserLocalId,XUserChangeEvent)>,xbox::services::Allocator<xbox::services::Function<void __cdecl(XUserLocalId,XUserChangeEvent)> > >: std::_Ebco_base<xbox::services::Allocator<xbox::services::Function<void __cdecl(XUserLocalId,XUserChangeEvent)> >,1>, struct xbox::services::Allocator<xbox::services::Function<void __cdecl(XUserLocalId,XUserChangeEvent)> >, std::_Ref_count_base;
01420A06F8	2	M	XblContext	struct XblContext: std::enable_shared_from_this<XblContext>, struct xbox::services::RefCounter;
01420A0710	4		std::_Ref_count_resource_alloc<XblContext * __ptr64,xbox::services::Deleter<XblContext>,xbox::services::Allocator<XblContext> >	std::_Ref_count_resource_alloc<XblContext * __ptr64,xbox::services::Deleter<XblContext>,xbox::services::Allocator<XblContext> >: std::_Ref_count_base;
01420A0738	4	M	std::_Ref_count_obj_alloc3<xbox::services::XboxLiveContextSettings,xbox::services::Allocator<xbox::services::XboxLiveContextSettings> >	std::_Ref_count_obj_alloc3<xbox::services::XboxLiveContextSettings,xbox::services::Allocator<xbox::services::XboxLiveContextSettings> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::XboxLiveContextSettings>,1>, struct xbox::services::Allocator<xbox::services::XboxLiveContextSettings>, std::_Ref_count_base;
01420A0760	4	M	std::_Ref_count_obj_alloc3<xbox::services::achievements::AchievementsService,xbox::services::Allocator<xbox::services::achievements::AchievementsService> >	std::_Ref_count_obj_alloc3<xbox::services::achievements::AchievementsService,xbox::services::Allocator<xbox::services::achievements::AchievementsService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::achievements::AchievementsService>,1>, struct xbox::services::Allocator<xbox::services::achievements::AchievementsService>, std::_Ref_count_base;
01420A0788	4	M	std::_Ref_count_obj_alloc3<xbox::services::social::ProfileService,xbox::services::Allocator<xbox::services::social::ProfileService> >	std::_Ref_count_obj_alloc3<xbox::services::social::ProfileService,xbox::services::Allocator<xbox::services::social::ProfileService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::social::ProfileService>,1>, struct xbox::services::Allocator<xbox::services::social::ProfileService>, std::_Ref_count_base;
01420A07B0	4	M	std::_Ref_count_obj_alloc3<xbox::services::social::ReputationService,xbox::services::Allocator<xbox::services::social::ReputationService> >	std::_Ref_count_obj_alloc3<xbox::services::social::ReputationService,xbox::services::Allocator<xbox::services::social::ReputationService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::social::ReputationService>,1>, struct xbox::services::Allocator<xbox::services::social::ReputationService>, std::_Ref_count_base;
01420A07D8	4	M	std::_Ref_count_obj_alloc3<xbox::services::presence::PresenceService,xbox::services::Allocator<xbox::services::presence::PresenceService> >	std::_Ref_count_obj_alloc3<xbox::services::presence::PresenceService,xbox::services::Allocator<xbox::services::presence::PresenceService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::presence::PresenceService>,1>, struct xbox::services::Allocator<xbox::services::presence::PresenceService>, std::_Ref_count_base;
01420A0800	4	M	std::_Ref_count_obj_alloc3<xbox::services::social::SocialService,xbox::services::Allocator<xbox::services::social::SocialService> >	std::_Ref_count_obj_alloc3<xbox::services::social::SocialService,xbox::services::Allocator<xbox::services::social::SocialService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::social::SocialService>,1>, struct xbox::services::Allocator<xbox::services::social::SocialService>, std::_Ref_count_base;
01420A0828	4	M	std::_Ref_count_obj_alloc3<xbox::services::system::StringService,xbox::services::Allocator<xbox::services::system::StringService> >	std::_Ref_count_obj_alloc3<xbox::services::system::StringService,xbox::services::Allocator<xbox::services::system::StringService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::system::StringService>,1>, struct xbox::services::Allocator<xbox::services::system::StringService>, std::_Ref_count_base;
01420A0850	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::MultiplayerService,xbox::services::Allocator<xbox::services::multiplayer::MultiplayerService> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::MultiplayerService,xbox::services::Allocator<xbox::services::multiplayer::MultiplayerService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::MultiplayerService>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::MultiplayerService>, std::_Ref_count_base;
01420A0878	4	M	std::_Ref_count_obj_alloc3<xbox::services::privacy::PrivacyService,xbox::services::Allocator<xbox::services::privacy::PrivacyService> >	std::_Ref_count_obj_alloc3<xbox::services::privacy::PrivacyService,xbox::services::Allocator<xbox::services::privacy::PrivacyService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::privacy::PrivacyService>,1>, struct xbox::services::Allocator<xbox::services::privacy::PrivacyService>, std::_Ref_count_base;
01420A08A0	4	M	std::_Ref_count_obj_alloc3<xbox::services::user_statistics::TitleManagedStatisticsService,xbox::services::Allocator<xbox::services::user_statistics::TitleManagedStatisticsService> >	std::_Ref_count_obj_alloc3<xbox::services::user_statistics::TitleManagedStatisticsService,xbox::services::Allocator<xbox::services::user_statistics::TitleManagedStatisticsService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::user_statistics::TitleManagedStatisticsService>,1>, struct xbox::services::Allocator<xbox::services::user_statistics::TitleManagedStatisticsService>, std::_Ref_count_base;
01420A08C8	4	M	std::_Ref_count_obj_alloc3<xbox::services::user_statistics::UserStatisticsService,xbox::services::Allocator<xbox::services::user_statistics::UserStatisticsService> >	std::_Ref_count_obj_alloc3<xbox::services::user_statistics::UserStatisticsService,xbox::services::Allocator<xbox::services::user_statistics::UserStatisticsService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::user_statistics::UserStatisticsService>,1>, struct xbox::services::Allocator<xbox::services::user_statistics::UserStatisticsService>, std::_Ref_count_base;
01420A08F0	4	M	std::_Ref_count_obj_alloc3<xbox::services::leaderboard::LeaderboardService,xbox::services::Allocator<xbox::services::leaderboard::LeaderboardService> >	std::_Ref_count_obj_alloc3<xbox::services::leaderboard::LeaderboardService,xbox::services::Allocator<xbox::services::leaderboard::LeaderboardService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::leaderboard::LeaderboardService>,1>, struct xbox::services::Allocator<xbox::services::leaderboard::LeaderboardService>, std::_Ref_count_base;
01420A0918	4	M	std::_Ref_count_obj_alloc3<xbox::services::matchmaking::MatchmakingService,xbox::services::Allocator<xbox::services::matchmaking::MatchmakingService> >	std::_Ref_count_obj_alloc3<xbox::services::matchmaking::MatchmakingService,xbox::services::Allocator<xbox::services::matchmaking::MatchmakingService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::matchmaking::MatchmakingService>,1>, struct xbox::services::Allocator<xbox::services::matchmaking::MatchmakingService>, std::_Ref_count_base;
01420A0940	4	M	std::_Ref_count_obj_alloc3<xbox::services::title_storage::TitleStorageService,xbox::services::Allocator<xbox::services::title_storage::TitleStorageService> >	std::_Ref_count_obj_alloc3<xbox::services::title_storage::TitleStorageService,xbox::services::Allocator<xbox::services::title_storage::TitleStorageService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::title_storage::TitleStorageService>,1>, struct xbox::services::Allocator<xbox::services::title_storage::TitleStorageService>, std::_Ref_count_base;
01420A0968	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer_activity::MultiplayerActivityService,xbox::services::Allocator<xbox::services::multiplayer_activity::MultiplayerActivityService> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer_activity::MultiplayerActivityService,xbox::services::Allocator<xbox::services::multiplayer_activity::MultiplayerActivityService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer_activity::MultiplayerActivityService>,1>, struct xbox::services::Allocator<xbox::services::multiplayer_activity::MultiplayerActivityService>, std::_Ref_count_base;
01420A0990	6	M	std::_Ref_count_obj_alloc3<xbox::services::events::EventsService,xbox::services::Allocator<xbox::services::events::EventsService> >	std::_Ref_count_obj_alloc3<xbox::services::events::EventsService,xbox::services::Allocator<xbox::services::events::EventsService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::events::EventsService>,1>, struct xbox::services::Allocator<xbox::services::events::EventsService>, std::_Ref_count_base;
01420A0DC8	33	M	`public: long __cdecl xbox::services::multiplayer_activity::MultiplayerActivityService::FlushRecentPlayers(xbox::services::AsyncContext<xbox::services::Result<void> > && __ptr64) __ptr64'::`2'::ServiceCall	`public: long __cdecl xbox::services::multiplayer_activity::MultiplayerActivityService::FlushRecentPlayers(xbox::services::AsyncContext<xbox::services::Result<void> > && __ptr64) __ptr64'::`2'::ServiceCall: struct XblHttpCall, xbox::services::HttpCall, struct xbox::services::RefCounter, std::enable_shared_from_this<xbox::services::HttpCall>;
01420A12A0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_d215991f55d4883693a850263dff1c7e> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_d215991f55d4883693a850263dff1c7e> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A12C0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_180f5f3d0f681cf5c6f0bec967149b35> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_180f5f3d0f681cf5c6f0bec967149b35> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A12E0	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_a3ff9c9fa02606235146435ff50d1733> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_a3ff9c9fa02606235146435ff50d1733> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A1400	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_0f53e41eee49be82943d3cf989e85be0> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_0f53e41eee49be82943d3cf989e85be0> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A1420	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_3d8b71c45e1eb730d3c738c2fcee0ed7> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_3d8b71c45e1eb730d3c738c2fcee0ed7> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A1440	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_27ea18cec3eb92f240c575dc909a2c48> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_27ea18cec3eb92f240c575dc909a2c48> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A1460	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_6f19c8bd82ea747b189a65784ed28d58> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::Callable<<lambda_6f19c8bd82ea747b189a65784ed28d58> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<xbox::services::HttpCall> >)>::ICallable;
01420A1480	3		xbox::services::Function<void __cdecl(xbox::services::Result<void>)>::Callable<<lambda_1a51238fcc178b62ad613dd017fb860e> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<void>)>::Callable<<lambda_1a51238fcc178b62ad613dd017fb860e> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<void>)>::ICallable;
01420A14A0	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_22d2113c20cb58a0d75e972df2bdfe55> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_22d2113c20cb58a0d75e972df2bdfe55> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A14C0	4	M	std::_Ref_count_obj_alloc3<`public: long __cdecl xbox::services::multiplayer_activity::MultiplayerActivityService::FlushRecentPlayers(xbox::services::AsyncContext<xbox::services::Result<void> > && __ptr64) __ptr64'::`2'::ServiceCall,xbox::services::Allocator<`public: long __cdecl xbox::services::multiplayer_activity::MultiplayerActivityService::FlushRecentPlayers(xbox::services::AsyncContext<xbox::services::Result<void> > && __ptr64) __ptr64'::`2'::ServiceCall> >	std::_Ref_count_obj_alloc3<`public: long __cdecl xbox::services::multiplayer_activity::MultiplayerActivityService::FlushRecentPlayers(xbox::services::AsyncContext<xbox::services::Result<void> > && __ptr64) __ptr64'::`2'::ServiceCall,xbox::services::Allocator<`public: long __cdecl xbox::services::multiplayer_activity::MultiplayerActivityService::FlushRecentPlayers(xbox::services::AsyncContext<xbox::services::Result<void> > && __ptr64) __ptr64'::`2'::ServiceCall> >: std::_Ebco_base<xbox::services::Allocator<`public: long __cdecl xbox::se
01420A14E8	4	M	std::_Ref_count_obj_alloc3<XblHttpCall,xbox::services::Allocator<XblHttpCall> >	std::_Ref_count_obj_alloc3<XblHttpCall,xbox::services::Allocator<XblHttpCall> >: std::_Ebco_base<xbox::services::Allocator<XblHttpCall>,1>, struct xbox::services::Allocator<XblHttpCall>, std::_Ref_count_base;
01420A1600	6		xbox::services::details::windows_category_impl	xbox::services::details::windows_category_impl: std::error_category;
01420A1638	2		xbox::services::uri_exception	xbox::services::uri_exception: std::exception;
01420A1710	15		std::basic_stringbuf<wchar_t,std::char_traits<wchar_t>,xbox::services::Allocator<wchar_t> >	std::basic_stringbuf<wchar_t,std::char_traits<wchar_t>,xbox::services::Allocator<wchar_t> >: std::basic_streambuf<wchar_t,std::char_traits<wchar_t> >;
01420A1790	1		std::basic_ostringstream<wchar_t,std::char_traits<wchar_t>,xbox::services::Allocator<wchar_t> >	std::basic_ios<wchar_t,std::char_traits<wchar_t> >: std::ios_base, std::_Iosb<int>;
01420A1880	6		std::_Func_impl_no_alloc<<lambda_9b74d6af019cd981544d44cf050dfa92>,bool,int>	std::_Func_impl_no_alloc<<lambda_9b74d6af019cd981544d44cf050dfa92>,bool,int>: std::_Func_base<bool,int>;
01420A18B8	6		std::_Func_impl_no_alloc<<lambda_26708503b24135c4794b0021b402a5ae>,bool,int>	std::_Func_impl_no_alloc<<lambda_26708503b24135c4794b0021b402a5ae>,bool,int>: std::_Func_base<bool,int>;
01420A18F0	6		std::_Func_impl_no_alloc<<lambda_75578ed423c751787f508e60c6a65955>,bool,int>	std::_Func_impl_no_alloc<<lambda_75578ed423c751787f508e60c6a65955>,bool,int>: std::_Func_base<bool,int>;
01420A1928	6		std::_Func_impl_no_alloc<<lambda_2544d62aedf660395f9e3e33df01e6a5>,bool,int>	std::_Func_impl_no_alloc<<lambda_2544d62aedf660395f9e3e33df01e6a5>,bool,int>: std::_Func_base<bool,int>;
01420A1960	6		std::_Func_impl_no_alloc<<lambda_e940db856a702b3aec76189f55c49efa>,bool,int>	std::_Func_impl_no_alloc<<lambda_e940db856a702b3aec76189f55c49efa>,bool,int>: std::_Func_base<bool,int>;
01420A1998	6		std::_Func_impl_no_alloc<<lambda_ffce0fe1763d820c5cbaae1bdf8e5fd7>,bool,int>	std::_Func_impl_no_alloc<<lambda_ffce0fe1763d820c5cbaae1bdf8e5fd7>,bool,int>: std::_Func_base<bool,int>;
01420A19D0	6		std::_Func_impl_no_alloc<<lambda_408be94045d01f895aea2eaa7306ee2e>,bool,int>	std::_Func_impl_no_alloc<<lambda_408be94045d01f895aea2eaa7306ee2e>,bool,int>: std::_Func_base<bool,int>;
01420A1A10	6		xbox::services::legacy::xbox_services_error_code_category_impl	xbox::services::legacy::xbox_services_error_code_category_impl: std::error_category;
01420A1A50	6		xbox::services::legacy::xbox_services_error_condition_category_impl	xbox::services::legacy::xbox_services_error_condition_category_impl: std::error_category;
01420A1A98	4		xbox::services::log_output	xbox::services::log_output: 
01420A1BB8	3	M	xbox::services::ClientOperation<xbox::services::Result<unsigned __int64> >	xbox::services::ClientOperation<xbox::services::Result<unsigned __int64> >: struct XblClientOperation, struct xbox::services::RefCounter, std::enable_shared_from_this<xbox::services::ClientOperation<xbox::services::Result<unsigned __int64> > >;
01420A1BD8	2	M	xbox::services::ClientOperation<xbox::services::Result<unsigned __int64> >	struct xbox::services::RefCounter: std::enable_shared_from_this<xbox::services::ClientOperation<xbox::services::Result<unsigned __int64> > >;
01420A1BF0	3	M	xbox::services::ClientOperation<xbox::services::Result<std::vector<unsigned char,xbox::services::Allocator<unsigned char> > > >	xbox::services::ClientOperation<xbox::services::Result<std::vector<unsigned char,xbox::services::Allocator<unsigned char> > > >: struct XblClientOperation, struct xbox::services::RefCounter, std::enable_shared_from_this<xbox::services::ClientOperation<xbox::services::Result<std::vector<unsigned char,xbox::services::Allocator<unsigned char> > > > >;
01420A1C10	2	M	xbox::services::ClientOperation<xbox::services::Result<std::vector<unsigned char,xbox::services::Allocator<unsigned char> > > >	struct xbox::services::RefCounter: std::enable_shared_from_this<xbox::services::ClientOperation<xbox::services::Result<std::vector<unsigned char,xbox::services::Allocator<unsigned char> > > > >;
01420A1C28	3	M	xbox::services::ClientOperation<long>	xbox::services::ClientOperation<long>: struct XblClientOperation, struct xbox::services::RefCounter, std::enable_shared_from_this<xbox::services::ClientOperation<long> >;
01420A1C48	2	M	xbox::services::ClientOperation<long>	struct xbox::services::RefCounter: std::enable_shared_from_this<xbox::services::ClientOperation<long> >;
01420A1C60	1		std::basic_ofstream<char,std::char_traits<char> >	std::basic_ios<char,std::char_traits<char> >: std::ios_base, std::_Iosb<int>;
